//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 65310000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
65310000;2;01/05/1933;;1;1;165,2;98,58;124,5723;7;1;1;1;1;;0;98,58;98,58;98,58;103,72;125,2;136,4;165,2;159,4;153,6;147,8;144,9;136,4;133,6;133,6;128;125,2;119,6;116,8;114;116,8;119,6;125,2;125,2;125,2;125,2;125,2;119,6;114;114;108,86;103,72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/06/1933;;1;1;153,6;79,3;98,01733;24;14;1;1;1;;0;98,58;96,01;93,44;88,3;88,3;86,05;83,8;83,8;83,8;83,8;81,55;81,55;81,55;79,3;79,3;79,3;79,3;79,3;83,8;88,3;98,58;125,2;142;153,6;142;133,6;122,4;108,86;106,29;108,86;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/07/1933;;1;1;165,2;83,8;116,2029;17;7;1;1;1;;0;111,43;106,29;98,58;93,44;90,87;88,3;83,8;86,05;88,3;108,86;114;119,6;136,4;147,8;147,8;153,6;165,2;159,4;153,6;142;136,4;130,8;125,2;116,8;108,86;108,86;101,15;98,58;98,58;93,44;88,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/08/1933;;1;1;153,6;70,3;87,93388;31;21;1;1;1;;0;88,3;88,3;86,05;83,8;81,55;81,55;79,3;79,3;79,3;74,8;74,8;74,8;74,8;74,8;74,8;74,8;74,8;72,55;72,55;72,55;70,3;70,3;70,3;72,55;74,8;79,3;130,8;144,9;144,9;150,7;153,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/09/1933;;1;1;506,6;88,3;195,371;24;10;1;1;1;;0;139,2;119,6;103,72;98,58;98,58;103,72;98,58;93,44;93,44;88,3;88,3;88,3;88,3;88,3;88,3;88,3;88,3;88,3;90,87;119,6;195,8;289,6;387;506,6;486,4;469,9;456,8;421,2;373;320,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/10/1933;;1;1;840,4;183,4;434,4581;10;27;1;1;1;;0;276,8;248,5;267,2;466,6;510;547,4;596;647,4;780,1;836,3;792;745;695,6;680,4;614,5;547,4;486,4;434,4;390,5;352,6;323,9;302,2;280;254,7;223,7;198,9;186,5;183,4;183,4;192,7;223,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/11/1933;;1;1;339,8;153,6;234,85;4;30;1;1;1;;0;305,3;314,6;330,2;339,8;327;305,3;286,4;273,6;280;273,6;254,7;245,4;239,2;233;229,9;236,1;239,2;229,9;214,4;195,8;183,4;168,1;159,4;165,2;183,4;180,3;174,1;165,2;159,4;153,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/12/1933;;1;1;177,2;86,05;122,4897;4;19;1;1;1;;0;165,2;168,1;162,3;174,1;168,1;162,3;147,8;142;133,6;125,2;119,6;111,43;108,86;103,72;101,15;98,58;98,58;88,3;86,05;88,3;98,58;98,58;106,29;116,8;122,4;119,6;119,6;122,4;116,8;114;108,86;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/01/1934;;1;1;434,4;79,3;203,9494;29;4;1;1;1;;0;103,72;90,87;83,8;79,3;79,3;83,8;93,44;122,4;162,3;171;165,2;165,2;165,2;168,1;162,3;147,8;139,2;162,3;180,3;208,2;223,7;251,6;248,5;242,3;273,6;349,4;369,5;383,5;414,4;411;421,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/02/1934;;1;1;784;352,6;501,9393;27;18;1;1;1;;0;434,4;417,8;400,8;407,6;428;444;486,4;547,4;527;499,8;483,1;450,4;414,4;394;390,5;376,5;366;352,6;387;447,2;561;599,7;596;603,4;714,6;760,6;780,1;784;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
65310000;2;01/03/1934;;1;1;824;147,8;354,529;2;24;1;1;1;;0;792;820;796;752,8;691,8;640,2;585,5;533,8;499,8;456,8;390,5;320,8;286,4;251,6;229,9;217,5;177,2;177,2;171;171;168,1;165,2;159,4;150,7;150,7;162,3;168,1;186,5;236,1;242,3;239,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/04/1934;;1;1;578,5;233;376,7;27;24;1;1;1;;0;239,2;264;296;302,2;308,4;387;428;444;453,6;421,2;421,2;407,6;394;394;394;394;366;339,8;320,8;308,4;276,8;251,6;239,2;233;248,5;493;578,5;568;568;561;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/05/1934;;1;1;527;153,6;249,5613;1;19;1;1;1;;0;527;486,4;440,8;400,8;366;333,4;333,4;330,2;327;302,2;270,4;245,4;217,5;202;189,6;177,2;171;165,2;153,6;153,6;153,6;153,6;171;183,4;202;202;195,8;189,6;171;165,2;156,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/06/1934;;1;1;171;114;135,8667;18;28;1;1;1;;0;142;136,4;130,8;128;119,6;125,2;130,8;130,8;133,6;133,6;136,4;136,4;136,4;136,4;133,6;133,6;147,8;171;171;162,3;156,5;147,8;142;139,2;128;125,2;119,6;114;114;114;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/07/1934;;1;1;147,8;98,58;121,4516;20;14;1;1;1;;0;119,6;119,6;116,8;114;114;111,43;108,86;106,29;103,72;103,72;103,72;103,72;103,72;98,58;103,72;103,72;142;136,4;136,4;147,8;147,8;147,8;142;142;139,2;133,6;125,2;119,6;116,8;116,8;136,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
